"filename", "language", "JavaScript", "CSS", "XML", "JavaScript React", "JSON", "comment", "blank", "total"
"/Users/gayuru/Desktop/RMIT/Sem 6 '20/Cloud Computing/A2/Munchys/react/src/media/clock.svg", "XML", 0, 0, 3, 0, 0, 0, 1, 4
"/Users/gayuru/Desktop/RMIT/Sem 6 '20/Cloud Computing/A2/Munchys/react/src/media/dish.svg", "XML", 0, 0, 27, 0, 0, 0, 1, 28
"/Users/gayuru/Desktop/RMIT/Sem 6 '20/Cloud Computing/A2/Munchys/react/src/media/done-animation.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"/Users/gayuru/Desktop/RMIT/Sem 6 '20/Cloud Computing/A2/Munchys/react/src/media/food-carousel.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"/Users/gayuru/Desktop/RMIT/Sem 6 '20/Cloud Computing/A2/Munchys/react/src/media/food-cooking.json", "JSON", 0, 0, 0, 0, 1, 0, 1, 2
"/Users/gayuru/Desktop/RMIT/Sem 6 '20/Cloud Computing/A2/Munchys/react/src/media/food.svg", "XML", 0, 0, 3, 0, 0, 0, 1, 4
"/Users/gayuru/Desktop/RMIT/Sem 6 '20/Cloud Computing/A2/Munchys/react/src/media/heart-unliked.svg", "XML", 0, 0, 3, 0, 0, 0, 1, 4
"/Users/gayuru/Desktop/RMIT/Sem 6 '20/Cloud Computing/A2/Munchys/react/src/media/heart.svg", "XML", 0, 0, 3, 0, 0, 0, 1, 4
"/Users/gayuru/Desktop/RMIT/Sem 6 '20/Cloud Computing/A2/Munchys/react/src/media/icon.svg", "XML", 0, 0, 3, 0, 0, 0, 1, 4
"/Users/gayuru/Desktop/RMIT/Sem 6 '20/Cloud Computing/A2/Munchys/react/src/media/login-vector.svg", "XML", 0, 0, 157, 0, 0, 0, 1, 158
"/Users/gayuru/Desktop/RMIT/Sem 6 '20/Cloud Computing/A2/Munchys/react/src/media/logo-coloured.svg", "XML", 0, 0, 5, 0, 0, 0, 1, 6
"/Users/gayuru/Desktop/RMIT/Sem 6 '20/Cloud Computing/A2/Munchys/react/src/media/logo.svg", "XML", 0, 0, 12, 0, 0, 0, 1, 13
"/Users/gayuru/Desktop/RMIT/Sem 6 '20/Cloud Computing/A2/Munchys/react/src/media/servings.svg", "XML", 0, 0, 20, 0, 0, 0, 1, 21
"/Users/gayuru/Desktop/RMIT/Sem 6 '20/Cloud Computing/A2/Munchys/react/src/media/vegan.svg", "XML", 0, 0, 27, 0, 0, 0, 1, 28
"/Users/gayuru/Desktop/RMIT/Sem 6 '20/Cloud Computing/A2/Munchys/react/src/media/wine.svg", "XML", 0, 0, 27, 0, 0, 0, 1, 28
"/Users/gayuru/Desktop/RMIT/Sem 6 '20/Cloud Computing/A2/Munchys/react/src/serviceWorker.js", "JavaScript", 98, 0, 0, 0, 0, 31, 13, 142
"/Users/gayuru/Desktop/RMIT/Sem 6 '20/Cloud Computing/A2/Munchys/react/src/setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 4, 1, 6
"/Users/gayuru/Desktop/RMIT/Sem 6 '20/Cloud Computing/A2/Munchys/react/src/utils/Account.js", "JavaScript", 72, 0, 0, 0, 0, 44, 18, 134
"/Users/gayuru/Desktop/RMIT/Sem 6 '20/Cloud Computing/A2/Munchys/react/src/utils/UserPool.js", "JavaScript", 6, 0, 0, 0, 0, 0, 2, 8
"/Users/gayuru/Desktop/RMIT/Sem 6 '20/Cloud Computing/A2/Munchys/react/src/utils/api.js", "JavaScript", 8, 0, 0, 0, 0, 1, 2, 11
"/Users/gayuru/Desktop/RMIT/Sem 6 '20/Cloud Computing/A2/Munchys/react/src/utils/auth.js", "JavaScript", 19, 0, 0, 0, 0, 0, 4, 23
"Total", "-", 2261, 53, 372, 31, 4, 331, 335, 3387
